room_type,bedrooms,bathrooms,price,host_is_superhost,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms
Entire home/apt,2.0,1.0,248.0,t,3,0,4.82,4.85,0
Private room,1.0,1.0,70.0,f,6,0,4.63,4.75,3
Private room,1.0,1.5,115.0,t,1,26,4.92,4.93,1
Entire home/apt,3.0,2.5,465.0,t,2,2,4.91,4.84,0
Entire home/apt,1.0,1.0,123.0,t,2,3,4.75,4.39,0
Entire home/apt,1.0,1.0,135.0,f,7,0,5.0,4.85,0
Entire home/apt,1.0,1.0,99.0,f,1,0,5.0,4.8,0
Entire home/apt,1.0,1.0,184.0,f,1,13,4.83,4.84,0
Private room,1.0,1.0,79.0,t,1,4,4.82,4.79,1
Private room,1.0,1.0,95.0,t,1,2,4.97,4.64,1
Entire home/apt,2.0,1.5,216.0,f,1,14,4.8,4.86,0
Private room,1.0,1.0,78.0,t,2,18,4.74,4.84,1
Entire home/apt,1.0,1.0,157.0,t,1,3,4.94,4.88,0
Entire home/apt,2.0,2.0,443.0,t,1,4,4.89,4.86,0
Entire home/apt,1.0,1.0,69.0,t,4,5,4.84,4.92,0
Entire home/apt,1.0,1.0,175.0,t,1,4,4.77,4.83,0
Entire home/apt,1.0,1.0,159.0,f,2,15,4.72,4.89,0
Entire home/apt,1.0,1.0,159.0,t,1,8,4.92,4.96,0
Entire home/apt,2.0,1.0,238.0,f,2,12,4.87,4.88,0
Entire home/apt,1.0,1.0,220.0,f,1,0,4.85,4.84,0
Entire home/apt,2.0,1.0,252.0,t,1,0,4.95,4.9,0
Entire home/apt,2.0,1.0,340.0,t,1,13,4.69,4.97,0
Entire home/apt,3.0,1.0,282.0,t,3,11,4.8,4.55,1
Entire home/apt,1.0,1.0,185.0,t,1,0,4.97,4.91,0
Entire home/apt,1.0,1.0,161.0,t,2,4,4.88,5.0,0
Entire home/apt,3.0,2.0,435.0,f,1,18,4.85,4.82,0
Private room,1.0,1.0,81.0,f,1,18,4.79,4.89,1
Private room,1.0,2.0,117.0,t,2,3,4.88,4.94,2
Entire home/apt,1.0,1.0,188.0,t,3,3,4.84,4.9,0
Entire home/apt,1.0,1.0,165.0,t,1,4,4.96,4.99,0
Private room,2.0,1.0,69.0,f,2,0,4.96,5.0,2
Private room,1.0,1.0,50.0,f,1,24,4.77,4.69,1
Private room,1.0,2.0,66.0,f,7,16,4.75,5.0,7
Entire home/apt,1.0,1.0,109.0,t,1,7,4.58,4.89,0
Entire home/apt,1.0,1.0,248.0,f,2,18,5.0,5.0,0
Entire home/apt,2.0,1.0,224.0,f,2,6,4.62,4.91,0
Entire home/apt,1.0,1.0,133.0,f,32,0,4.4,4.9,0
Private room,1.0,1.0,109.0,t,2,10,5.0,4.83,2
Private room,1.0,1.0,96.0,t,1,8,4.83,4.88,1
Entire home/apt,3.0,2.0,484.0,f,14,0,4.79,4.92,1
Entire home/apt,2.0,1.5,399.0,f,2,0,4.97,4.43,1
Entire home/apt,2.0,1.0,130.0,f,2,0,5.0,5.0,0
Entire home/apt,2.0,1.0,132.0,t,1,1,4.85,4.88,0
Private room,1.0,1.0,99.0,t,5,0,4.81,4.95,1
Entire home/apt,2.0,1.0,242.0,f,2,6,4.64,5.0,0
Entire home/apt,1.0,1.0,184.0,f,30,0,4.71,4.5,0
Entire home/apt,2.0,1.0,295.0,t,1,0,4.8,4.57,0
Entire home/apt,1.0,1.0,458.0,f,1,30,4.92,4.82,0
Private room,1.0,1.0,77.0,t,3,8,4.88,4.83,3
Entire home/apt,1.0,1.0,290.0,t,2,12,4.97,4.91,0
Entire home/apt,1.0,1.0,87.0,f,20,7,4.3,4.43,0
Entire home/apt,1.0,1.0,225.0,f,1,22,4.8,4.93,0
Private room,1.0,1.0,79.0,t,4,0,4.9,4.15,2
Entire home/apt,1.0,1.0,133.0,t,2,1,4.78,4.79,0
Entire home/apt,1.0,1.0,207.0,t,1,7,4.7,4.83,0
Entire home/apt,1.0,1.0,190.0,t,1,18,4.98,4.79,0
Entire home/apt,4.0,2.0,747.0,t,4,19,4.68,4.76,0
Private room,1.0,2.0,53.0,t,5,8,4.52,4.83,5
Private room,1.0,1.0,110.0,t,1,8,4.97,4.89,1
Private room,1.0,1.0,94.0,t,2,4,4.9,4.93,2
Shared room,1.0,1.0,150.0,f,1,30,4.82,4.32,0
Entire home/apt,2.0,1.0,294.0,f,1,0,4.95,5.0,0
Entire home/apt,1.0,1.0,89.0,f,4,0,4.31,4.13,0
Private room,1.0,1.5,75.0,f,2,0,4.59,4.6,1
Entire home/apt,3.0,2.0,499.0,t,1,20,4.94,4.81,0
Entire home/apt,1.0,1.0,125.0,f,1,3,4.57,4.73,0
Entire home/apt,1.0,1.5,180.0,f,2,30,4.64,4.06,0
Private room,1.0,1.0,63.0,f,7,10,4.6,4.8,7
Private room,1.0,1.0,68.0,f,7,0,4.0,5.0,7
Entire home/apt,2.0,1.0,350.0,t,2,12,4.5,4.88,0
Entire home/apt,3.0,3.0,688.0,t,2,14,5.0,4.99,0
Entire home/apt,1.0,1.0,159.0,f,1,23,4.44,4.75,0
Entire home/apt,2.0,1.0,200.0,f,1,0,4.77,4.77,0
Entire home/apt,4.0,1.5,175.0,f,1,0,4.78,4.88,0
Entire home/apt,1.0,2.0,251.0,t,1,10,5.0,5.0,0
Entire home/apt,4.0,3.0,523.0,f,1,10,4.6,5.0,0
Entire home/apt,1.0,1.0,90.0,f,2,30,4.22,3.84,0
Entire home/apt,1.0,1.0,79.0,t,1,12,4.48,4.37,0
Entire home/apt,5.0,3.5,660.0,f,1,0,5.0,5.0,0
Entire home/apt,1.0,1.0,282.0,t,23,2,5.0,5.0,0
Entire home/apt,2.0,1.5,150.0,t,1,0,4.94,4.91,0
Entire home/apt,1.0,1.0,115.0,f,1,0,4.87,5.0,0
Private room,1.0,3.0,69.0,t,5,6,4.64,4.8,5
Private room,1.0,1.0,55.0,f,3,9,4.83,4.79,3
