bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
3.0,2.0,435.0,1,18,4.85,4.82,0,False,False,False,False
1.0,1.0,81.0,1,18,4.79,4.89,1,False,True,False,False
1.0,2.0,117.0,2,3,4.88,4.94,2,False,True,False,True
1.0,1.0,188.0,3,3,4.84,4.9,0,False,False,False,True
1.0,1.0,165.0,1,4,4.96,4.99,0,False,False,False,True
2.0,1.0,69.0,2,0,4.96,5.0,2,False,True,False,False
1.0,1.0,50.0,1,24,4.77,4.69,1,False,True,False,False
1.0,2.0,66.0,7,16,4.75,5.0,7,False,True,False,False
1.0,1.0,109.0,1,7,4.58,4.89,0,False,False,False,True
1.0,1.0,248.0,2,18,5.0,5.0,0,False,False,False,False
2.0,1.0,224.0,2,6,4.62,4.91,0,False,False,False,False
1.0,1.0,133.0,32,0,4.4,4.9,0,False,False,False,False
1.0,1.0,109.0,2,10,5.0,4.83,2,False,True,False,True
1.0,1.0,96.0,1,8,4.83,4.88,1,False,True,False,True
3.0,2.0,484.0,14,0,4.79,4.92,1,False,False,False,False
2.0,1.5,399.0,2,0,4.97,4.43,1,False,False,False,False
2.0,1.0,130.0,2,0,5.0,5.0,0,False,False,False,False
2.0,1.0,132.0,1,1,4.85,4.88,0,False,False,False,True
1.0,1.0,99.0,5,0,4.81,4.95,1,False,True,False,True
2.0,1.0,242.0,2,6,4.64,5.0,0,False,False,False,False
1.0,1.0,184.0,30,0,4.71,4.5,0,False,False,False,False
2.0,1.0,295.0,1,0,4.8,4.57,0,False,False,False,True
1.0,1.0,458.0,1,30,4.92,4.82,0,False,False,False,False
1.0,1.0,77.0,3,8,4.88,4.83,3,False,True,False,True
1.0,1.0,290.0,2,12,4.97,4.91,0,False,False,False,True
1.0,1.0,87.0,20,7,4.3,4.43,0,False,False,False,False
1.0,1.0,225.0,1,22,4.8,4.93,0,False,False,False,False
1.0,1.0,79.0,4,0,4.9,4.15,2,False,True,False,True
1.0,1.0,133.0,2,1,4.78,4.79,0,False,False,False,True
1.0,1.0,207.0,1,7,4.7,4.83,0,False,False,False,True
1.0,1.0,190.0,1,18,4.98,4.79,0,False,False,False,True
4.0,2.0,747.0,4,19,4.68,4.76,0,False,False,False,True
1.0,2.0,53.0,5,8,4.52,4.83,5,False,True,False,True
1.0,1.0,110.0,1,8,4.97,4.89,1,False,True,False,True
1.0,1.0,94.0,2,4,4.9,4.93,2,False,True,False,True
1.0,1.0,150.0,1,30,4.82,4.32,0,False,False,True,False
2.0,1.0,294.0,1,0,4.95,5.0,0,False,False,False,False
1.0,1.0,89.0,4,0,4.31,4.13,0,False,False,False,False
1.0,1.5,75.0,2,0,4.59,4.6,1,False,True,False,False
3.0,2.0,499.0,1,20,4.94,4.81,0,False,False,False,True
1.0,1.0,125.0,1,3,4.57,4.73,0,False,False,False,False
1.0,1.5,180.0,2,30,4.64,4.06,0,False,False,False,False
1.0,1.0,63.0,7,10,4.6,4.8,7,False,True,False,False
1.0,1.0,68.0,7,0,4.0,5.0,7,False,True,False,False
2.0,1.0,350.0,2,12,4.5,4.88,0,False,False,False,True
3.0,3.0,688.0,2,14,5.0,4.99,0,False,False,False,True
1.0,1.0,159.0,1,23,4.44,4.75,0,False,False,False,False
2.0,1.0,200.0,1,0,4.77,4.77,0,False,False,False,False
4.0,1.5,175.0,1,0,4.78,4.88,0,False,False,False,False
1.0,2.0,251.0,1,10,5.0,5.0,0,False,False,False,True
4.0,3.0,523.0,1,10,4.6,5.0,0,False,False,False,False
1.0,1.0,90.0,2,30,4.22,3.84,0,False,False,False,False
1.0,1.0,79.0,1,12,4.48,4.37,0,False,False,False,True
5.0,3.5,660.0,1,0,5.0,5.0,0,False,False,False,False
1.0,1.0,282.0,23,2,5.0,5.0,0,False,False,False,True
2.0,1.5,150.0,1,0,4.94,4.91,0,False,False,False,True
1.0,1.0,115.0,1,0,4.87,5.0,0,False,False,False,False
1.0,3.0,69.0,5,6,4.64,4.8,5,False,True,False,True
1.0,1.0,55.0,3,9,4.83,4.79,3,False,True,False,False
0.0,1.0,97.0,1,0,4.93,4.8,0,False,False,False,False
2.0,1.0,110.0,7,2,4.54,4.39,0,False,False,False,False
1.0,1.0,100.0,2,5,4.13,4.65,1,False,True,False,True
2.0,1.0,358.0,2,20,5.0,5.0,1,False,True,False,True
3.0,2.0,771.0,2,20,4.88,4.88,1,False,False,False,True
3.0,2.0,390.0,2,0,4.88,5.0,0,False,False,False,False
2.0,1.0,203.0,1,7,4.81,4.77,0,False,False,False,True
3.0,2.0,689.0,2,13,4.8,4.75,0,False,False,False,True
1.0,1.0,100.0,2,3,4.67,4.25,0,False,False,False,True
2.0,1.0,356.0,1,24,4.74,4.89,0,False,False,False,False
3.0,2.0,329.0,2,13,4.78,4.8,0,False,False,False,False
1.0,1.0,76.0,2,12,4.84,4.86,2,False,True,False,True
